Taxon Name, numOccurrences, fileName
Spilogale gracilis,14,mammals/Spilogale gracilis.csv,
Spilogale putorius,83,mammals/Spilogale putorius.csv,
Spilogale sp.,26,mammals/Spilogale sp..csv,
Sus scrofa,118,mammals/Sus scrofa.csv,
Sylvilagus aquaticus,29,mammals/Sylvilagus aquaticus.csv,
Sylvilagus audubonii,126,mammals/Sylvilagus audubonii.csv,
Sylvilagus bachmani,12,mammals/Sylvilagus bachmani.csv,
Sylvilagus floridanus,311,mammals/Sylvilagus floridanus.csv,
Sylvilagus nuttallii,102,mammals/Sylvilagus nuttallii.csv,
Sylvilagus sp.,737,mammals/Sylvilagus sp..csv,
Synaptomys australis,16,mammals/Synaptomys australis.csv,
Synaptomys borealis,34,mammals/Synaptomys borealis.csv,
Synaptomys cooperi,115,mammals/Synaptomys cooperi.csv,
Tadarida brasiliensis,12,mammals/Tadarida brasiliensis.csv,
Tamias minimus,39,mammals/Tamias minimus.csv,
Tamias sp.,81,mammals/Tamias sp..csv,
Tamias striatus,196,mammals/Tamias striatus.csv,
Tamiasciurus hudsonicus,85,mammals/Tamiasciurus hudsonicus.csv,
Tapirus sp.,25,mammals/Tapirus sp..csv,
Tapirus veroensis,27,mammals/Tapirus veroensis.csv,
Taxidea taxus,282,mammals/Taxidea taxus.csv,
Thomomys bottae,142,mammals/Thomomys bottae.csv,
Thomomys sp.,164,mammals/Thomomys sp..csv,
Thomomys talpoides,155,mammals/Thomomys talpoides.csv,
Tremarctos floridanus,18,mammals/Tremarctos floridanus.csv,
Urocyon cinereoargenteus,293,mammals/Urocyon cinereoargenteus.csv,
Urocyon sp.,10,mammals/Urocyon sp..csv,
Ursus americanus,406,mammals/Ursus americanus.csv,
Ursus arctos,52,mammals/Ursus arctos.csv,
Ursus sp.,77,mammals/Ursus sp..csv,
Vulpes macrotis,25,mammals/Vulpes macrotis.csv,
Vulpes sp.,49,mammals/Vulpes sp..csv,
Vulpes velox,88,mammals/Vulpes velox.csv,
Vulpes vulpes,166,mammals/Vulpes vulpes.csv,
Zalophus californianus,15,mammals/Zalophus californianus.csv,
Zapus hudsonius,47,mammals/Zapus hudsonius.csv,
Lynx canadensis,14,mammals/Lynx canadensis.csv,
Puma concolor,119,mammals/Puma concolor.csv,
Panthera onca,29,mammals/Panthera onca.csv,
Lynx rufus,325,mammals/Lynx rufus.csv,
Lemmiscus curtatus,80,mammals/Lemmiscus curtatus.csv,
Chaetodipus hispidus,45,mammals/Chaetodipus hispidus.csv,
Felidae sp.,44,mammals/Felidae sp..csv,
Lontra canadensis,200,mammals/Lontra canadensis.csv,
Neovison vison,207,mammals/Neovison vison.csv,
Myodes gapperi,84,mammals/Myodes gapperi.csv,
Cratogeomys castanops,25,mammals/Cratogeomys castanops.csv,
Cervidae sp.,14,mammals/Cervidae sp..csv,
Euceratherium collinum,12,mammals/Euceratherium collinum.csv,
Lynx sp.,11,mammals/Lynx sp..csv,
Proboscidea sp.,26,mammals/Proboscidea sp..csv,
