,taxon,taxon.id,P25,WS64,WhitmoreFull,WhitmoreSmall,Broad,STEPPS,type,cf
762,Arceuthobium,23,NA,Arceuthobium,ARCEUTHOBI,ARCEUTHOBI,ARCEUTHOBI,NA,NA,NA
763,Arceuthobium americanum,1014,NA,Arceuthobium,ARCEUTHOBI,ARCEUTHOBI,ARCEUTHOBI,NA,NA,NA
764,Arceuthobium oxycedri,5220,NA,Arceuthobium,ARCEUTHOBI,ARCEUTHOBI,ARCEUTHOBI,NA,NA,NA
765,Arceuthobium pusillum,567,NA,Arceuthobium,ARCEUTHOBI,ARCEUTHOBI,ARCEUTHOBI,NA,NA,NA
2165,cf. Arceuthobium,18474,NA,Arceuthobium,ARCEUTHOBI,ARCEUTHOBI,ARCEUTHOBI,NA,NA,TRUE
172,Acrocomia,9578,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
770,Archontophoenix,9850,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
805,ARECACEAE,199,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
806,ARECACEAE (monocolpate),1882,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
807,ARECACEAE (tricolpate),1883,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
808,ARECACEAE (type I),3015,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
809,ARECACEAE (type II),3016,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
810,ARECACEAE cf. Euterpe,9712,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
811,ARECACEAE cf. Phytelephas,9713,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
812,ARECACEAE undiff.,910,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
813,ARECACEAE/Bromeliaceae,24102,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
814,ARECACEAE-type,1134,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
815,ARECACEAE-type undiff.,1230,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
816,Arecales,9102,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1051,Astrocaryum,22680,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1109,Attalea,22681,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1158,Bactris,22682,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1438,Borassus,20566,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1439,Borassus flabellifer,20615,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
1648,Calamus,9893,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
2168,cf. ARECACEAE,23794,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,TRUE
2848,Chamaedorea-type,9614,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
2852,Chamaerops,5487,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
3146,Cocos,9617,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
3147,Cocos nucifera,9618,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
3256,Copernicia,22683,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
3442,Cryosophila,3235,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
3948,Dypsis,9937,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
4415,Euterpe,22684,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
4416,Euterpe-type,3022,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
5355,Hyphaene,2523,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
5356,Hyphaene cf. H. thebaica,2524,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
5417,Iriartea,3243,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
5418,Iriartea-type,1734,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
6323,Mauritia,3250,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
6324,Mauritia flexuosa,9704,NA,NA,ARECACEAE,ARECACEAE,Arecaceae,NA,NA,NA
