Taxon,Sites,Records,CSV,Shapefile
Camelops hesternus,36,121,/CSV/mammals/Camelops hesternus.csv,Shapefiles/mammals/Camelops hesternus.shp
Camelops sp.,78,89,/CSV/mammals/Camelops sp..csv,Shapefiles/mammals/Camelops sp..shp
Canis dirus,65,82,/CSV/mammals/Canis dirus.csv,Shapefiles/mammals/Canis dirus.shp
Canis latrans,251,454,/CSV/mammals/Canis latrans.csv,Shapefiles/mammals/Canis latrans.shp
Canis lupus,170,270,/CSV/mammals/Canis lupus.csv,Shapefiles/mammals/Canis lupus.shp
Capra hircus,13,16,/CSV/mammals/Capra hircus.csv,Shapefiles/mammals/Capra hircus.shp
Capromeryx minor,7,11,/CSV/mammals/Capromeryx minor.csv,Shapefiles/mammals/Capromeryx minor.shp
Capromeryx sp.,13,19,/CSV/mammals/Capromeryx sp..csv,Shapefiles/mammals/Capromeryx sp..shp
Castor canadensis,666,1167,/CSV/mammals/Castor canadensis.csv,Shapefiles/mammals/Castor canadensis.shp
Castoroides ohioensis,34,38,/CSV/mammals/Castoroides ohioensis.csv,Shapefiles/mammals/Castoroides ohioensis.shp
Cervalces scotti,31,38,/CSV/mammals/Cervalces scotti.csv,Shapefiles/mammals/Cervalces scotti.shp
Cervidae sp.,15,19,/CSV/mammals/Cervidae sp..csv,Shapefiles/mammals/Cervidae sp..shp
Cervus sp.,24,32,/CSV/mammals/Cervus sp..csv,Shapefiles/mammals/Cervus sp..shp
Chaetodipus hispidus,44,130,/CSV/mammals/Chaetodipus hispidus.csv,Shapefiles/mammals/Chaetodipus hispidus.shp
Condylura cristata,21,42,/CSV/mammals/Condylura cristata.csv,Shapefiles/mammals/Condylura cristata.shp
Conepatus leuconotus,14,19,/CSV/mammals/Conepatus leuconotus.csv,Shapefiles/mammals/Conepatus leuconotus.shp
Cratogeomys castanops,22,35,/CSV/mammals/Cratogeomys castanops.csv,Shapefiles/mammals/Cratogeomys castanops.shp
Cryptotis parva,80,178,/CSV/mammals/Cryptotis parva.csv,Shapefiles/mammals/Cryptotis parva.shp
Cynomys gunnisoni,53,90,/CSV/mammals/Cynomys gunnisoni.csv,Shapefiles/mammals/Cynomys gunnisoni.shp
Cynomys leucurus,14,25,/CSV/mammals/Cynomys leucurus.csv,Shapefiles/mammals/Cynomys leucurus.shp
Cynomys ludovicianus,102,174,/CSV/mammals/Cynomys ludovicianus.csv,Shapefiles/mammals/Cynomys ludovicianus.shp
Cynomys sp.,67,119,/CSV/mammals/Cynomys sp..csv,Shapefiles/mammals/Cynomys sp..shp
Dasypus bellus,45,61,/CSV/mammals/Dasypus bellus.csv,Shapefiles/mammals/Dasypus bellus.shp
Dicrostonyx torquatus,16,37,/CSV/mammals/Dicrostonyx torquatus.csv,Shapefiles/mammals/Dicrostonyx torquatus.shp
Didelphis virginiana,299,500,/CSV/mammals/Didelphis virginiana.csv,Shapefiles/mammals/Didelphis virginiana.shp
Dipodomys ordii,63,99,/CSV/mammals/Dipodomys ordii.csv,Shapefiles/mammals/Dipodomys ordii.shp
Dipodomys sp.,99,218,/CSV/mammals/Dipodomys sp..csv,Shapefiles/mammals/Dipodomys sp..shp
Dipodomys spectabilis,12,17,/CSV/mammals/Dipodomys spectabilis.csv,Shapefiles/mammals/Dipodomys spectabilis.shp
Enhydra lutris,28,80,/CSV/mammals/Enhydra lutris.csv,Shapefiles/mammals/Enhydra lutris.shp
Eptesicus fuscus,68,201,/CSV/mammals/Eptesicus fuscus.csv,Shapefiles/mammals/Eptesicus fuscus.shp
Equus caballus,53,73,/CSV/mammals/Equus caballus.csv,Shapefiles/mammals/Equus caballus.shp
Equus complicatus,17,20,/CSV/mammals/Equus complicatus.csv,Shapefiles/mammals/Equus complicatus.shp
Equus conversidens,23,32,/CSV/mammals/Equus conversidens.csv,Shapefiles/mammals/Equus conversidens.shp
Equus niobrarensis,9,14,/CSV/mammals/Equus niobrarensis.csv,Shapefiles/mammals/Equus niobrarensis.shp
Equus occidentalis,9,16,/CSV/mammals/Equus occidentalis.csv,Shapefiles/mammals/Equus occidentalis.shp
Equus sp.,226,295,/CSV/mammals/Equus sp..csv,Shapefiles/mammals/Equus sp..shp
Erethizon dorsata,264,451,/CSV/mammals/Erethizon dorsata.csv,Shapefiles/mammals/Erethizon dorsata.shp
Euceratherium collinum,12,14,/CSV/mammals/Euceratherium collinum.csv,Shapefiles/mammals/Euceratherium collinum.shp
Eumetopias jubatus,26,97,/CSV/mammals/Eumetopias jubatus.csv,Shapefiles/mammals/Eumetopias jubatus.shp
Felidae sp.,45,47,/CSV/mammals/Felidae sp..csv,Shapefiles/mammals/Felidae sp..shp
Geomys bursarius,230,446,/CSV/mammals/Geomys bursarius.csv,Shapefiles/mammals/Geomys bursarius.shp
Geomys pinetis,23,23,/CSV/mammals/Geomys pinetis.csv,Shapefiles/mammals/Geomys pinetis.shp
Geomys sp.,47,159,/CSV/mammals/Geomys sp..csv,Shapefiles/mammals/Geomys sp..shp
Glaucomys sabrinus,20,37,/CSV/mammals/Glaucomys sabrinus.csv,Shapefiles/mammals/Glaucomys sabrinus.shp
Glaucomys sp.,19,37,/CSV/mammals/Glaucomys sp..csv,Shapefiles/mammals/Glaucomys sp..shp
Glaucomys volans,58,154,/CSV/mammals/Glaucomys volans.csv,Shapefiles/mammals/Glaucomys volans.shp
Gulo gulo,23,29,/CSV/mammals/Gulo gulo.csv,Shapefiles/mammals/Gulo gulo.shp
Hemiauchenia macrocephala,26,27,/CSV/mammals/Hemiauchenia macrocephala.csv,Shapefiles/mammals/Hemiauchenia macrocephala.shp
Hemiauchenia sp.,25,29,/CSV/mammals/Hemiauchenia sp..csv,Shapefiles/mammals/Hemiauchenia sp..shp
Holmesina septentrionalis,23,23,/CSV/mammals/Holmesina septentrionalis.csv,Shapefiles/mammals/Holmesina septentrionalis.shp
Homo sapiens,326,395,/CSV/mammals/Homo sapiens.csv,Shapefiles/mammals/Homo sapiens.shp
Lemmiscus curtatus,68,236,/CSV/mammals/Lemmiscus curtatus.csv,Shapefiles/mammals/Lemmiscus curtatus.shp
Lepus americanus,53,88,/CSV/mammals/Lepus americanus.csv,Shapefiles/mammals/Lepus americanus.shp
Lepus californicus,167,512,/CSV/mammals/Lepus californicus.csv,Shapefiles/mammals/Lepus californicus.shp
Lepus sp.,309,664,/CSV/mammals/Lepus sp..csv,Shapefiles/mammals/Lepus sp..shp
Lepus townsendii,81,106,/CSV/mammals/Lepus townsendii.csv,Shapefiles/mammals/Lepus townsendii.shp
Lontra canadensis,192,318,/CSV/mammals/Lontra canadensis.csv,Shapefiles/mammals/Lontra canadensis.shp
Lynx canadensis,15,19,/CSV/mammals/Lynx canadensis.csv,Shapefiles/mammals/Lynx canadensis.shp
Lynx rufus,310,537,/CSV/mammals/Lynx rufus.csv,Shapefiles/mammals/Lynx rufus.shp
Lynx sp.,12,16,/CSV/mammals/Lynx sp..csv,Shapefiles/mammals/Lynx sp..shp
Mammut americanum,204,251,/CSV/mammals/Mammut americanum.csv,Shapefiles/mammals/Mammut americanum.shp
Mammuthus columbi,70,90,/CSV/mammals/Mammuthus columbi.csv,Shapefiles/mammals/Mammuthus columbi.shp
Mammuthus jeffersonii,15,22,/CSV/mammals/Mammuthus jeffersonii.csv,Shapefiles/mammals/Mammuthus jeffersonii.shp
Mammuthus primigenius,20,28,/CSV/mammals/Mammuthus primigenius.csv,Shapefiles/mammals/Mammuthus primigenius.shp
Mammuthus sp.,146,190,/CSV/mammals/Mammuthus sp..csv,Shapefiles/mammals/Mammuthus sp..shp
Marmota flaviventris,147,417,/CSV/mammals/Marmota flaviventris.csv,Shapefiles/mammals/Marmota flaviventris.shp
Marmota monax,276,505,/CSV/mammals/Marmota monax.csv,Shapefiles/mammals/Marmota monax.shp
Marmota sp.,35,63,/CSV/mammals/Marmota sp..csv,Shapefiles/mammals/Marmota sp..shp
Martes nobilis,16,25,/CSV/mammals/Martes nobilis.csv,Shapefiles/mammals/Martes nobilis.shp
Martes pennanti,97,136,/CSV/mammals/Martes pennanti.csv,Shapefiles/mammals/Martes pennanti.shp
Martes sp.,11,12,/CSV/mammals/Martes sp..csv,Shapefiles/mammals/Martes sp..shp
Megalonyx jeffersonii,32,49,/CSV/mammals/Megalonyx jeffersonii.csv,Shapefiles/mammals/Megalonyx jeffersonii.shp
Megalonyx sp.,20,23,/CSV/mammals/Megalonyx sp..csv,Shapefiles/mammals/Megalonyx sp..shp
Mephitis mephitis,361,573,/CSV/mammals/Mephitis mephitis.csv,Shapefiles/mammals/Mephitis mephitis.shp
Mephitis sp.,18,29,/CSV/mammals/Mephitis sp..csv,Shapefiles/mammals/Mephitis sp..shp
Microtus californicus,21,28,/CSV/mammals/Microtus californicus.csv,Shapefiles/mammals/Microtus californicus.shp
Microtus chrotorrhinus,13,18,/CSV/mammals/Microtus chrotorrhinus.csv,Shapefiles/mammals/Microtus chrotorrhinus.shp
Microtus longicaudus,27,54,/CSV/mammals/Microtus longicaudus.csv,Shapefiles/mammals/Microtus longicaudus.shp
Microtus mexicanus,24,36,/CSV/mammals/Microtus mexicanus.csv,Shapefiles/mammals/Microtus mexicanus.shp
Microtus montanus,43,90,/CSV/mammals/Microtus montanus.csv,Shapefiles/mammals/Microtus montanus.shp
Microtus ochrogaster,94,179,/CSV/mammals/Microtus ochrogaster.csv,Shapefiles/mammals/Microtus ochrogaster.shp
Microtus pennsylvanicus,170,320,/CSV/mammals/Microtus pennsylvanicus.csv,Shapefiles/mammals/Microtus pennsylvanicus.shp
Microtus pinetorum,75,148,/CSV/mammals/Microtus pinetorum.csv,Shapefiles/mammals/Microtus pinetorum.shp
Microtus sp.,302,701,/CSV/mammals/Microtus sp..csv,Shapefiles/mammals/Microtus sp..shp
Microtus xanthognathus,34,66,/CSV/mammals/Microtus xanthognathus.csv,Shapefiles/mammals/Microtus xanthognathus.shp
Mus musculus,12,20,/CSV/mammals/Mus musculus.csv,Shapefiles/mammals/Mus musculus.shp
Mustela erminea,22,32,/CSV/mammals/Mustela erminea.csv,Shapefiles/mammals/Mustela erminea.shp
Mustela frenata,116,205,/CSV/mammals/Mustela frenata.csv,Shapefiles/mammals/Mustela frenata.shp
Mustela nigripes,15,21,/CSV/mammals/Mustela nigripes.csv,Shapefiles/mammals/Mustela nigripes.shp
Mustela nivalis,20,40,/CSV/mammals/Mustela nivalis.csv,Shapefiles/mammals/Mustela nivalis.shp
Mustela sp.,56,69,/CSV/mammals/Mustela sp..csv,Shapefiles/mammals/Mustela sp..shp
Mylohyus fossilis,24,38,/CSV/mammals/Mylohyus fossilis.csv,Shapefiles/mammals/Mylohyus fossilis.shp
Mylohyus sp.,22,22,/CSV/mammals/Mylohyus sp..csv,Shapefiles/mammals/Mylohyus sp..shp
Myodes gapperi,81,143,/CSV/mammals/Myodes gapperi.csv,Shapefiles/mammals/Myodes gapperi.shp
Myotis lucifugus,13,22,/CSV/mammals/Myotis lucifugus.csv,Shapefiles/mammals/Myotis lucifugus.shp
Myotis sp.,67,169,/CSV/mammals/Myotis sp..csv,Shapefiles/mammals/Myotis sp..shp
Myotis velifer,19,95,/CSV/mammals/Myotis velifer.csv,Shapefiles/mammals/Myotis velifer.shp
Napaeozapus insignis,14,23,/CSV/mammals/Napaeozapus insignis.csv,Shapefiles/mammals/Napaeozapus insignis.shp
Neofiber alleni,36,46,/CSV/mammals/Neofiber alleni.csv,Shapefiles/mammals/Neofiber alleni.shp
Neotoma albigula,40,92,/CSV/mammals/Neotoma albigula.csv,Shapefiles/mammals/Neotoma albigula.shp
Neotoma cinerea,110,400,/CSV/mammals/Neotoma cinerea.csv,Shapefiles/mammals/Neotoma cinerea.shp
Neotoma floridana,169,332,/CSV/mammals/Neotoma floridana.csv,Shapefiles/mammals/Neotoma floridana.shp
Neotoma lepida,35,118,/CSV/mammals/Neotoma lepida.csv,Shapefiles/mammals/Neotoma lepida.shp
Neotoma mexicana,29,45,/CSV/mammals/Neotoma mexicana.csv,Shapefiles/mammals/Neotoma mexicana.shp
Neotoma micropus,17,39,/CSV/mammals/Neotoma micropus.csv,Shapefiles/mammals/Neotoma micropus.shp
Neotoma sp.,334,783,/CSV/mammals/Neotoma sp..csv,Shapefiles/mammals/Neotoma sp..shp
Neovison vison,205,331,/CSV/mammals/Neovison vison.csv,Shapefiles/mammals/Neovison vison.shp
Nothrotheriops shastensis,29,47,/CSV/mammals/Nothrotheriops shastensis.csv,Shapefiles/mammals/Nothrotheriops shastensis.shp
Notiosorex crawfordi,43,113,/CSV/mammals/Notiosorex crawfordi.csv,Shapefiles/mammals/Notiosorex crawfordi.shp
Ochotona princeps,44,112,/CSV/mammals/Ochotona princeps.csv,Shapefiles/mammals/Ochotona princeps.shp
Odocoileus sp.,538,1006,/CSV/mammals/Odocoileus sp..csv,Shapefiles/mammals/Odocoileus sp..shp
Odocoileus virginianus,871,1745,/CSV/mammals/Odocoileus virginianus.csv,Shapefiles/mammals/Odocoileus virginianus.shp
Ondatra sp.,11,14,/CSV/mammals/Ondatra sp..csv,Shapefiles/mammals/Ondatra sp..shp
Ondatra zibethicus,447,813,/CSV/mammals/Ondatra zibethicus.csv,Shapefiles/mammals/Ondatra zibethicus.shp
Onychomys leucogaster,91,201,/CSV/mammals/Onychomys leucogaster.csv,Shapefiles/mammals/Onychomys leucogaster.shp
Onychomys sp.,21,33,/CSV/mammals/Onychomys sp..csv,Shapefiles/mammals/Onychomys sp..shp
Oreamnos sp.,13,18,/CSV/mammals/Oreamnos sp..csv,Shapefiles/mammals/Oreamnos sp..shp
Oryzomys palustris,118,178,/CSV/mammals/Oryzomys palustris.csv,Shapefiles/mammals/Oryzomys palustris.shp
Ovis aries,41,60,/CSV/mammals/Ovis aries.csv,Shapefiles/mammals/Ovis aries.shp
Ovis canadensis,228,720,/CSV/mammals/Ovis canadensis.csv,Shapefiles/mammals/Ovis canadensis.shp
Ovis sp.,31,50,/CSV/mammals/Ovis sp..csv,Shapefiles/mammals/Ovis sp..shp
Palaeolama mirifica,15,15,/CSV/mammals/Palaeolama mirifica.csv,Shapefiles/mammals/Palaeolama mirifica.shp
Panthera onca,30,33,/CSV/mammals/Panthera onca.csv,Shapefiles/mammals/Panthera onca.shp
Paramylodon harlani,38,51,/CSV/mammals/Paramylodon harlani.csv,Shapefiles/mammals/Paramylodon harlani.shp
Parascalops breweri,32,66,/CSV/mammals/Parascalops breweri.csv,Shapefiles/mammals/Parascalops breweri.shp
Perognathus flavescens,19,25,/CSV/mammals/Perognathus flavescens.csv,Shapefiles/mammals/Perognathus flavescens.shp
Perognathus flavus,11,13,/CSV/mammals/Perognathus flavus.csv,Shapefiles/mammals/Perognathus flavus.shp
Perognathus parvus,35,159,/CSV/mammals/Perognathus parvus.csv,Shapefiles/mammals/Perognathus parvus.shp
Perognathus sp.,116,267,/CSV/mammals/Perognathus sp..csv,Shapefiles/mammals/Perognathus sp..shp
Peromyscus boylii,14,27,/CSV/mammals/Peromyscus boylii.csv,Shapefiles/mammals/Peromyscus boylii.shp
Peromyscus crinitus,12,21,/CSV/mammals/Peromyscus crinitus.csv,Shapefiles/mammals/Peromyscus crinitus.shp
Peromyscus gossypinus,16,18,/CSV/mammals/Peromyscus gossypinus.csv,Shapefiles/mammals/Peromyscus gossypinus.shp
Peromyscus leucopus,48,80,/CSV/mammals/Peromyscus leucopus.csv,Shapefiles/mammals/Peromyscus leucopus.shp
Peromyscus maniculatus,136,303,/CSV/mammals/Peromyscus maniculatus.csv,Shapefiles/mammals/Peromyscus maniculatus.shp
Peromyscus polionotus,12,12,/CSV/mammals/Peromyscus polionotus.csv,Shapefiles/mammals/Peromyscus polionotus.shp
Phenacomys intermedius,42,77,/CSV/mammals/Phenacomys intermedius.csv,Shapefiles/mammals/Phenacomys intermedius.shp
Phoca vitulina,27,88,/CSV/mammals/Phoca vitulina.csv,Shapefiles/mammals/Phoca vitulina.shp
Pipistrellus subflavus,29,86,/CSV/mammals/Pipistrellus subflavus.csv,Shapefiles/mammals/Pipistrellus subflavus.shp
Platygonus compressus,60,80,/CSV/mammals/Platygonus compressus.csv,Shapefiles/mammals/Platygonus compressus.shp
Platygonus sp.,24,25,/CSV/mammals/Platygonus sp..csv,Shapefiles/mammals/Platygonus sp..shp
Plecotus sp.,15,33,/CSV/mammals/Plecotus sp..csv,Shapefiles/mammals/Plecotus sp..shp
Proboscidea sp.,27,34,/CSV/mammals/Proboscidea sp..csv,Shapefiles/mammals/Proboscidea sp..shp
Procyon lotor,651,1221,/CSV/mammals/Procyon lotor.csv,Shapefiles/mammals/Procyon lotor.shp
Puma concolor,118,171,/CSV/mammals/Puma concolor.csv,Shapefiles/mammals/Puma concolor.shp
Rangifer tarandus,42,51,/CSV/mammals/Rangifer tarandus.csv,Shapefiles/mammals/Rangifer tarandus.shp
Rattus norvegicus,20,29,/CSV/mammals/Rattus norvegicus.csv,Shapefiles/mammals/Rattus norvegicus.shp
Rattus rattus,7,19,/CSV/mammals/Rattus rattus.csv,Shapefiles/mammals/Rattus rattus.shp
Rattus sp.,16,27,/CSV/mammals/Rattus sp..csv,Shapefiles/mammals/Rattus sp..shp
Reithrodontomys megalotis,40,61,/CSV/mammals/Reithrodontomys megalotis.csv,Shapefiles/mammals/Reithrodontomys megalotis.shp
Reithrodontomys sp.,42,105,/CSV/mammals/Reithrodontomys sp..csv,Shapefiles/mammals/Reithrodontomys sp..shp
Scalopus aquaticus,224,485,/CSV/mammals/Scalopus aquaticus.csv,Shapefiles/mammals/Scalopus aquaticus.shp
Scapanus latimanus,13,14,/CSV/mammals/Scapanus latimanus.csv,Shapefiles/mammals/Scapanus latimanus.shp
Sciurus carolinensis,189,400,/CSV/mammals/Sciurus carolinensis.csv,Shapefiles/mammals/Sciurus carolinensis.shp
Sciurus niger,163,301,/CSV/mammals/Sciurus niger.csv,Shapefiles/mammals/Sciurus niger.shp
Sciurus sp.,261,541,/CSV/mammals/Sciurus sp..csv,Shapefiles/mammals/Sciurus sp..shp
Sigmodon hispidus,146,353,/CSV/mammals/Sigmodon hispidus.csv,Shapefiles/mammals/Sigmodon hispidus.shp
Sigmodon sp.,25,37,/CSV/mammals/Sigmodon sp..csv,Shapefiles/mammals/Sigmodon sp..shp
Smilodon fatalis,19,30,/CSV/mammals/Smilodon fatalis.csv,Shapefiles/mammals/Smilodon fatalis.shp
Sorex arcticus,27,39,/CSV/mammals/Sorex arcticus.csv,Shapefiles/mammals/Sorex arcticus.shp
Sorex cinereus,69,106,/CSV/mammals/Sorex cinereus.csv,Shapefiles/mammals/Sorex cinereus.shp
Sorex fumeus,20,36,/CSV/mammals/Sorex fumeus.csv,Shapefiles/mammals/Sorex fumeus.shp
Sorex hoyi,28,43,/CSV/mammals/Sorex hoyi.csv,Shapefiles/mammals/Sorex hoyi.shp
Sorex merriami,12,20,/CSV/mammals/Sorex merriami.csv,Shapefiles/mammals/Sorex merriami.shp
Sorex palustris,32,45,/CSV/mammals/Sorex palustris.csv,Shapefiles/mammals/Sorex palustris.shp
Sorex sp.,50,82,/CSV/mammals/Sorex sp..csv,Shapefiles/mammals/Sorex sp..shp
Sorex vagrans,10,13,/CSV/mammals/Sorex vagrans.csv,Shapefiles/mammals/Sorex vagrans.shp
Spermophilus beecheyi,25,57,/CSV/mammals/Spermophilus beecheyi.csv,Shapefiles/mammals/Spermophilus beecheyi.shp
Spermophilus beldingi,13,36,/CSV/mammals/Spermophilus beldingi.csv,Shapefiles/mammals/Spermophilus beldingi.shp
Spermophilus franklinii,51,65,/CSV/mammals/Spermophilus franklinii.csv,Shapefiles/mammals/Spermophilus franklinii.shp
Spermophilus lateralis,46,126,/CSV/mammals/Spermophilus lateralis.csv,Shapefiles/mammals/Spermophilus lateralis.shp
Spermophilus mexicanus,11,18,/CSV/mammals/Spermophilus mexicanus.csv,Shapefiles/mammals/Spermophilus mexicanus.shp
Spermophilus richardsonii,40,71,/CSV/mammals/Spermophilus richardsonii.csv,Shapefiles/mammals/Spermophilus richardsonii.shp
Spermophilus sp.,199,503,/CSV/mammals/Spermophilus sp..csv,Shapefiles/mammals/Spermophilus sp..shp
Spermophilus spilosoma,24,39,/CSV/mammals/Spermophilus spilosoma.csv,Shapefiles/mammals/Spermophilus spilosoma.shp
Spermophilus townsendii,36,190,/CSV/mammals/Spermophilus townsendii.csv,Shapefiles/mammals/Spermophilus townsendii.shp
Spermophilus tridecemlineatus,132,220,/CSV/mammals/Spermophilus tridecemlineatus.csv,Shapefiles/mammals/Spermophilus tridecemlineatus.shp
Spermophilus variegatus,83,170,/CSV/mammals/Spermophilus variegatus.csv,Shapefiles/mammals/Spermophilus variegatus.shp
Spilogale gracilis,15,18,/CSV/mammals/Spilogale gracilis.csv,Shapefiles/mammals/Spilogale gracilis.shp
Spilogale putorius,81,130,/CSV/mammals/Spilogale putorius.csv,Shapefiles/mammals/Spilogale putorius.shp
Spilogale sp.,24,39,/CSV/mammals/Spilogale sp..csv,Shapefiles/mammals/Spilogale sp..shp
Sus scrofa,110,161,/CSV/mammals/Sus scrofa.csv,Shapefiles/mammals/Sus scrofa.shp
Sylvilagus aquaticus,28,64,/CSV/mammals/Sylvilagus aquaticus.csv,Shapefiles/mammals/Sylvilagus aquaticus.shp
Sylvilagus audubonii,108,243,/CSV/mammals/Sylvilagus audubonii.csv,Shapefiles/mammals/Sylvilagus audubonii.shp
Sylvilagus bachmani,13,17,/CSV/mammals/Sylvilagus bachmani.csv,Shapefiles/mammals/Sylvilagus bachmani.shp
Sylvilagus floridanus,296,581,/CSV/mammals/Sylvilagus floridanus.csv,Shapefiles/mammals/Sylvilagus floridanus.shp
Sylvilagus nuttallii,79,260,/CSV/mammals/Sylvilagus nuttallii.csv,Shapefiles/mammals/Sylvilagus nuttallii.shp
Sylvilagus sp.,633,1386,/CSV/mammals/Sylvilagus sp..csv,Shapefiles/mammals/Sylvilagus sp..shp
Synaptomys australis,17,17,/CSV/mammals/Synaptomys australis.csv,Shapefiles/mammals/Synaptomys australis.shp
Synaptomys borealis,32,47,/CSV/mammals/Synaptomys borealis.csv,Shapefiles/mammals/Synaptomys borealis.shp
Synaptomys cooperi,109,208,/CSV/mammals/Synaptomys cooperi.csv,Shapefiles/mammals/Synaptomys cooperi.shp
Tadarida brasiliensis,12,13,/CSV/mammals/Tadarida brasiliensis.csv,Shapefiles/mammals/Tadarida brasiliensis.shp
Tamias sp.,76,183,/CSV/mammals/Tamias sp..csv,Shapefiles/mammals/Tamias sp..shp
Tamias striatus,188,358,/CSV/mammals/Tamias striatus.csv,Shapefiles/mammals/Tamias striatus.shp
Tamiasciurus hudsonicus,83,150,/CSV/mammals/Tamiasciurus hudsonicus.csv,Shapefiles/mammals/Tamiasciurus hudsonicus.shp
Tapirus sp.,26,29,/CSV/mammals/Tapirus sp..csv,Shapefiles/mammals/Tapirus sp..shp
Tapirus veroensis,26,30,/CSV/mammals/Tapirus veroensis.csv,Shapefiles/mammals/Tapirus veroensis.shp
Taxidea taxus,272,453,/CSV/mammals/Taxidea taxus.csv,Shapefiles/mammals/Taxidea taxus.shp
Thomomys bottae,128,242,/CSV/mammals/Thomomys bottae.csv,Shapefiles/mammals/Thomomys bottae.shp
Thomomys sp.,146,357,/CSV/mammals/Thomomys sp..csv,Shapefiles/mammals/Thomomys sp..shp
Thomomys talpoides,140,465,/CSV/mammals/Thomomys talpoides.csv,Shapefiles/mammals/Thomomys talpoides.shp
Tremarctos floridanus,19,19,/CSV/mammals/Tremarctos floridanus.csv,Shapefiles/mammals/Tremarctos floridanus.shp
Urocyon cinereoargenteus,271,487,/CSV/mammals/Urocyon cinereoargenteus.csv,Shapefiles/mammals/Urocyon cinereoargenteus.shp
Urocyon sp.,11,13,/CSV/mammals/Urocyon sp..csv,Shapefiles/mammals/Urocyon sp..shp
Ursus americanus,382,571,/CSV/mammals/Ursus americanus.csv,Shapefiles/mammals/Ursus americanus.shp
Ursus arctos,52,71,/CSV/mammals/Ursus arctos.csv,Shapefiles/mammals/Ursus arctos.shp
Ursus sp.,78,99,/CSV/mammals/Ursus sp..csv,Shapefiles/mammals/Ursus sp..shp
Vulpes macrotis,25,46,/CSV/mammals/Vulpes macrotis.csv,Shapefiles/mammals/Vulpes macrotis.shp
Vulpes sp.,49,64,/CSV/mammals/Vulpes sp..csv,Shapefiles/mammals/Vulpes sp..shp
Vulpes velox,85,104,/CSV/mammals/Vulpes velox.csv,Shapefiles/mammals/Vulpes velox.shp
Vulpes vulpes,162,262,/CSV/mammals/Vulpes vulpes.csv,Shapefiles/mammals/Vulpes vulpes.shp
Zalophus californianus,16,23,/CSV/mammals/Zalophus californianus.csv,Shapefiles/mammals/Zalophus californianus.shp
Zapus hudsonius,47,84,/CSV/mammals/Zapus hudsonius.csv,Shapefiles/mammals/Zapus hudsonius.shp
