ScientificName,Kingdom,Phylum, Class, Order,Family, Genus, Extra
Spilogale putorius,Animalia,Vertebrata,Mammalia,Carnivora,Mephitidae,Spilogale,Mustelidae/Mephitidae
Spilogale sp.,Animalia,Vertebrata,Mammalia,Carnivora,Mephitidae,Spilogale,Mustelidae/Mephitidae
Sus scrofa,Animalia,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus,
Sylvilagus aquaticus,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Sylvilagus audubonii,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Sylvilagus bachmani,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Sylvilagus floridanus,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Sylvilagus nuttallii,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Sylvilagus sp.,Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,
Synaptomys australis,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Synaptomys borealis,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Synaptomys cooperi,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,
Tadarida brasiliensis,Animalia,Vertebrata,Mammalia,Chiroptera,Molossidae,Tadarida,
Tamias sp.,Animalia,Vertebrata,Mammalia,Rodentia,Xerinae,Tamias,Sciuridae
Tamias striatus,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,
Tamiasciurus hudsonicus,Animalia,Vertebrata,Mammalia,Rodentia,Sciurinae,Tamiasciurus,Sciuridae
Tapirus sp.,Animalia,Vertebrata,Mammalia,Perissodactyla,Tapiridae,Tapirus,
Tapirus veroensis,Animalia,Vertebrata,Mammalia,Perissodactyla,Tapiridae,Tapirus,
Taxidea taxus,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,Taxidea,Mustelidae/Mephitidae
taxonomy,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,Taxidea,Mustelidae/Mephitidae
Thomomys bottae,Animalia,Vertebrata,Mammalia,Rodentia,Geomyidae,Thomomys,
Thomomys sp.,Animalia,Vertebrata,Mammalia,Rodentia,Geomyidae,Thomomys,
Thomomys talpoides,Animalia,Vertebrata,Mammalia,Rodentia,Geomyidae,Thomomys,
Tremarctos floridanus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,Tremarctos,
Urocyon cinereoargenteus,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Urocyon,Canidae
Urocyon sp.,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Urocyon,Canidae
Ursus americanus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,Ursus,
Ursus arctos,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,Ursus,
Ursus sp.,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,Ursus,
Vulpes macrotis,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Vulpes,Canidae
Vulpes sp.,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Vulpes,Canidae
Vulpes velox,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Vulpes,Canidae
Vulpes vulpes,Animalia,Vertebrata,Mammalia,Carnivora,Vulpes/Urocyon,Vulpes,Canidae
Zalophus californianus,Animalia,Vertebrata,Mammalia,Carnivora,Otariidae,Zalophus,Pinnipedia
Zapus hudsonius,Animalia,Vertebrata,Mammalia,Rodentia,Zapodinae,Zapus,Dipodidae
