SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth
San Jose Chulchaca,20.866667,-90.133333,,,6733.0,Radiocarbon years BP,CARYOPHYLL,1.0,0.3246753246753247,362.0
San Jose Chulchaca,20.866667,-90.133333,,,6899.0,Radiocarbon years BP,CARYOPHYLL,1.0,0.5780346820809248,371.0
Hoya San Nicolás,20.388199999999998,-101.256,10911.0,11132.0,11041.0,Calibrated radiocarbon years BP,CUPRESSA,1.0,5.0,514.5
Hoya San Nicolás,20.388199999999998,-101.256,-48.0,63.0,-7.0,Calibrated radiocarbon years BP,CYPERACE,46.0,15.862068965517242,2.5
Hoya San Nicolás,20.388199999999998,-101.256,-16.0,445.0,188.0,Calibrated radiocarbon years BP,CYPERACE,29.0,9.177215189873419,12.5
Hoya San Nicolás,20.388199999999998,-101.256,88.0,1071.0,502.0,Calibrated radiocarbon years BP,CYPERACE,51.0,16.19047619047619,27.5
Hoya San Nicolás,20.388199999999998,-101.256,118.0,1178.0,580.0,Calibrated radiocarbon years BP,CYPERACE,77.0,21.329639889196674,32.5
Hoya San Nicolás,20.388199999999998,-101.256,140.0,1209.0,650.0,Calibrated radiocarbon years BP,CYPERACE,57.0,15.87743732590529,37.5
Hoya San Nicolás,20.388199999999998,-101.256,279.0,1361.0,782.0,Calibrated radiocarbon years BP,CYPERACE,69.0,17.424242424242426,47.5
Hoya San Nicolás,20.388199999999998,-101.256,451.0,1504.0,925.0,Calibrated radiocarbon years BP,CYPERACE,40.0,11.799410029498524,57.5
Hoya San Nicolás,20.388199999999998,-101.256,533.0,1585.0,999.0,Calibrated radiocarbon years BP,CYPERACE,46.0,11.948051948051948,62.5
Hoya San Nicolás,20.388199999999998,-101.256,620.0,1713.0,1145.0,Calibrated radiocarbon years BP,CYPERACE,30.0,8.310249307479225,72.5
Hoya San Nicolás,20.388199999999998,-101.256,670.0,1815.0,1216.0,Calibrated radiocarbon years BP,CYPERACE,15.0,4.166666666666666,77.5
Hoya San Nicolás,20.388199999999998,-101.256,758.0,1975.0,1353.0,Calibrated radiocarbon years BP,CYPERACE,31.0,8.355795148247978,87.5
Hoya San Nicolás,20.388199999999998,-101.256,1040.0,2152.0,1578.0,Calibrated radiocarbon years BP,CYPERACE,38.0,10.764872521246458,102.5
Hoya San Nicolás,20.388199999999998,-101.256,1233.0,2306.0,1745.0,Calibrated radiocarbon years BP,CYPERACE,21.0,5.865921787709497,112.5
Hoya San Nicolás,20.388199999999998,-101.256,1309.0,2359.0,1813.0,Calibrated radiocarbon years BP,CYPERACE,34.0,9.115281501340483,117.5
Hoya San Nicolás,20.388199999999998,-101.256,1394.0,2427.0,1884.0,Calibrated radiocarbon years BP,CYPERACE,34.0,8.19277108433735,122.5
Hoya San Nicolás,20.388199999999998,-101.256,1492.0,2523.0,1957.0,Calibrated radiocarbon years BP,CYPERACE,28.0,7.777777777777778,127.5
Hoya San Nicolás,20.388199999999998,-101.256,1580.0,2587.0,2031.0,Calibrated radiocarbon years BP,CYPERACE,24.0,7.142857142857142,132.5
Hoya San Nicolás,20.388199999999998,-101.256,1673.0,2649.0,2106.0,Calibrated radiocarbon years BP,CYPERACE,53.0,15.497076023391813,137.5
Hoya San Nicolás,20.388199999999998,-101.256,1793.0,2715.0,2184.0,Calibrated radiocarbon years BP,CYPERACE,37.0,10.10928961748634,142.5
Hoya San Nicolás,20.388199999999998,-101.256,1901.0,2763.0,2264.0,Calibrated radiocarbon years BP,CYPERACE,58.0,16.201117318435752,147.5
Hoya San Nicolás,20.388199999999998,-101.256,2010.0,2873.0,2370.0,Calibrated radiocarbon years BP,CYPERACE,63.0,17.548746518105848,152.5
Hoya San Nicolás,20.388199999999998,-101.256,2208.0,3204.0,2644.0,Calibrated radiocarbon years BP,CYPERACE,42.0,11.320754716981133,162.5
Hoya San Nicolás,20.388199999999998,-101.256,2359.0,3323.0,2793.0,Calibrated radiocarbon years BP,CYPERACE,22.0,6.111111111111111,167.5
Hoya San Nicolás,20.388199999999998,-101.256,2483.0,3466.0,2928.0,Calibrated radiocarbon years BP,CYPERACE,168.0,42.96675191815857,172.5
Hoya San Nicolás,20.388199999999998,-101.256,2616.0,3604.0,3050.0,Calibrated radiocarbon years BP,CYPERACE,110.0,31.79190751445087,177.5
Hoya San Nicolás,20.388199999999998,-101.256,2783.0,3727.0,3187.0,Calibrated radiocarbon years BP,CYPERACE,157.0,41.644562334217504,182.5
