,taxon,MappedTaxon
5091,Heliotropium-type,BORAGINACEAE
5309,Hydrophyllum,BORAGINACEAE
5310,Hydrophyllum cf. H. virginianum,BORAGINACEAE
5311,Hydrophyllum virginianum,BORAGINACEAE
5625,Lappula,BORAGINACEAE
5626,Lappula redowskii,BORAGINACEAE
5909,Lithospermum,BORAGINACEAE
5910,Lithospermum officinale,BORAGINACEAE
5911,Lithospermum sp.,BORAGINACEAE
5912,Lithospermum-type,BORAGINACEAE
6199,Macromeria-type,BORAGINACEAE
6322,Mattiastrum,BORAGINACEAE
6460,Mertensia,BORAGINACEAE
6461,Mertensia maritima,BORAGINACEAE
6462,Mertensia-type,BORAGINACEAE
6611,Moltkia,BORAGINACEAE
6652,Moritzia,BORAGINACEAE
6653,Moritzia cf. M. dasyantha,BORAGINACEAE
6654,Moritzia dasyantha,BORAGINACEAE
6736,Myosotis,BORAGINACEAE
6737,Myosotis arvensis-type,BORAGINACEAE
6738,Myosotis-type,BORAGINACEAE
6851,Nama,BORAGINACEAE
6882,Neatostema,BORAGINACEAE
6883,Neatostema apulum,BORAGINACEAE
6960,Nonea,BORAGINACEAE
7140,Onosma-type,BORAGINACEAE
7141,Onosmodium,BORAGINACEAE
7365,Paracaryum-type,BORAGINACEAE
7420,Pectocarya,BORAGINACEAE
7492,Pentaglottis sempervirens,BORAGINACEAE
7613,Phacelia,BORAGINACEAE
7614,Phacelia cf. P. franklinii,BORAGINACEAE
7615,Phacelia hastata-type,BORAGINACEAE
7616,Phacelia sp.,BORAGINACEAE
8553,Pulmonaria,BORAGINACEAE
8554,Pulmonaria obscura-type,BORAGINACEAE
8555,Pulmonaria officinalis,BORAGINACEAE
8556,Pulmonaria-type,BORAGINACEAE
8850,Rindera-type,BORAGINACEAE
9913,Symphytum,BORAGINACEAE
9914,Symphytum-type,BORAGINACEAE
10220,Tournefortia,BORAGINACEAE
10221,Tournefortia rufo-sericea,BORAGINACEAE
10235,Trachyspermum-type,BORAGINACEAE
10236,Trachystemon orientalis-type,BORAGINACEAE
10322,Trigonotis,BORAGINACEAE
418,Alyssoides-type,BRASSICACEAE
725,Arabidopsis,BRASSICACEAE
726,Arabidopsis-type,BRASSICACEAE
727,Arabis,BRASSICACEAE
728,Arabis-type,BRASSICACEAE
1188,Barbarea-type,BRASSICACEAE
1339,Biscutella,BRASSICACEAE
1521,Brassica,BRASSICACEAE
1522,Brassica kaber,BRASSICACEAE
1523,Brassicaceae,BRASSICACEAE
1524,Brassicaceae cf. Brassica,BRASSICACEAE
1525,Brassicaceae undiff.,BRASSICACEAE
1526,Brassicaceae-type,BRASSICACEAE
1529,Brassica-type,BRASSICACEAE
1840,Capsella-type,BRASSICACEAE
1847,Cardamine,BRASSICACEAE
1848,Cardamine pratensis-type,BRASSICACEAE
1849,Cardamine-type,BRASSICACEAE
2208,cf. Brassica,BRASSICACEAE
3437,Cruciferae,BRASSICACEAE
3693,Descurainia,BRASSICACEAE
3759,Dimorphocarpa,BRASSICACEAE
3760,Dimorphocarpa wislizeni,BRASSICACEAE
3761,Dimorphocarpa wislizeni/Dithyrea californica,BRASSICACEAE
3852,Dithyrea,BRASSICACEAE
3853,Dithyrea californica,BRASSICACEAE
3874,Draba,BRASSICACEAE
3875,Draba-type,BRASSICACEAE
5232,Hornungia-type,BRASSICACEAE
5738,Lepidium,BRASSICACEAE
