,taxon,MappedTaxon
6625,Monotropa hypopitys,ERICACEX
6626,Monotropa uniflora,ERICACEX
7209,Orthilia,ERICACEX
7210,Orthilia cf. O. secunda,ERICACEX
8583,Pyrola,ERICACEX
8584,Pyrola incarnata,ERICACEX
8585,Pyrola minor,ERICACEX
8587,Pyrola-type,ERICACEX
8793,Rhododendron,ERICACEX
8794,Rhododendron canadense,ERICACEX
8795,Rhododendron lapponicum-type,ERICACEX
8796,Rhododendron subsect. Ledum,ERICACEX
8797,Rhododendron subsect. Ledum/Chamaedaphne calyculata,ERICACEX
8798,Rhododendron subsect. Ledum-type,ERICACEX
8799,Rhododendron tomentosum,ERICACEX
8846,Richea-type,ERICACEX
9736,Sprengelia,ERICACEX
3086,Clethra-type,ERICACEX
4224,Ericales,ERICACEX
4225,Ericales (tetrad),ERICACEX
4226,Ericales cf. Andromeda polifolia,ERICACEX
4227,Ericales cf. Erica,ERICACEX
4228,Ericales undiff.,ERICACEX
4582,Fouquieriaceae,ERICACEX
4235,Erilepis,ERILEDCH
4236,Erilepis zonifer,ERILEDCH
4245,Eriogonum-type,ERIOGONUM
557,Andromeda,ERICACEX
559,Andromeda polifolia,ERICACEX
560,Andromeda polifolia var. latifolia,ERICACEX
2846,Chamaedaphne,ERICACEX
2847,Chamaedaphne calyculata,ERICACEX
4217,Ericaceae subf. Vaccinioideae,ERICACEX
4716,Gaultheria,ERICACEX
4717,Gaultheria hispidula,ERICACEX
4718,Gaultheria procumbens,ERICACEX
4719,Gaultheria ulei,ERICACEX
4737,Gaylussacia,ERICACEX
4738,Gaylussacia baccata,ERICACEX
6147,Lyonia,ERICACEX
7514,Pernettya,ERICACEX
10634,Vaccinium,ERICACEX
10635,Vaccinium angustifolium-type,ERICACEX
10636,Vaccinium macrocarpon-type,ERICACEX
10637,Vaccinium myrtillus,ERICACEX
10638,Vaccinium myrtillus-type,ERICACEX
10639,Vaccinium oxycoccos,ERICACEX
10640,Vaccinium sect. Oxycoccus,ERICACEX
10641,Vaccinium uliginosum,ERICACEX
10642,Vaccinium uliginosum-type,ERICACEX
10643,Vaccinium undiff.,ERICACEX
10644,Vaccinium-type,ERICACEX
183,Actinostemon,EUPHORB
309,Alchornea/Conceveibum,EUPHORB
310,Alchornea-type,EUPHORB
317,Aleurites,EUPHORB
318,Aleurites-type,EUPHORB
1327,Beyeria,EUPHORB
2366,cf. Hippomane,EUPHORB
2853,Chamaesyce,EUPHORB
2854,Chamaesyce-type,EUPHORB
3067,Claoxylon,EUPHORB
4390,Euphorbia,EUPHORB
4392,Euphorbia cf. E. papillosa,EUPHORB
4393,Euphorbia cf. E. pulchella,EUPHORB
4394,Euphorbia dendroides,EUPHORB
4395,Euphorbia sp.,EUPHORB
4396,Euphorbia subg. Chamaesyce,EUPHORB
4397,Euphorbia subg. Chamaesyce-type,EUPHORB
4398,Euphorbia undiff.,EUPHORB
4399,Euphorbiaceae,EUPHORB
4400,Euphorbiaceae cf. Chamaesyce,EUPHORB
4401,Euphorbiaceae cf. Hura,EUPHORB
4402,Euphorbiaceae cf. Mabea,EUPHORB
4403,Euphorbiaceae cf. Sapium,EUPHORB
4404,Euphorbiaceae undiff.,EUPHORB
4405,"Euphorbiaceae-type (tricolporate, reticulate)",EUPHORB
4406,"Euphorbiaceae-type (tricolporate, reticulate) undiff.",EUPHORB
4407,Euphorbia-type,EUPHORB
4408,Euphorbia-type undiff.,EUPHORB
5195,Hippomane,EUPHORB
5219,Homalanthus,EUPHORB
6179,Macaranga,EUPHORB
10238,Tragia,EUPHORB
61,Acacia,FABACEAE
62,Acacia (type I),FABACEAE
63,Acacia (type III),FABACEAE
64,Acacia greggii,FABACEAE
65,Acacia/Albizia,FABACEAE
66,Acacia-type,FABACEAE
195,Adesmia,FABACEAE
196,Adesmia sp.,FABACEAE
226,Aeschynomene,FABACEAE
227,Aeschynomene baumii-type,FABACEAE
292,Albizia,FABACEAE
293,Albizzia,FABACEAE
323,Alhagi,FABACEAE
468,Amorpha,FABACEAE
469,Amorpha canescens,FABACEAE
470,Amorpha cf. A. canescens,FABACEAE
471,Amorpha fruticosa,FABACEAE
472,Amorpha-type,FABACEAE
505,Anadenanthera,FABACEAE
554,Andira-type,FABACEAE
641,Anthyllis,FABACEAE
642,Anthyllis vulneraria,FABACEAE
644,Anthyllis-type,FABACEAE
714,Apuleia-type,FABACEAE
769,Archidendron,FABACEAE
1033,Astragalus,FABACEAE
1034,Astragalus alpinus,FABACEAE
1035,Astragalus alpinus-type,FABACEAE
1036,Astragalus cf. A. alpinus,FABACEAE
1037,Astragalus cf. A. glycyphyllos,FABACEAE
1038,Astragalus danicus-type,FABACEAE
1039,Astragalus frigidus,FABACEAE
1040,Astragalus lusitanicus-type,FABACEAE
1041,Astragalus nuttalianus,FABACEAE
1042,Astragalus penduliflorus,FABACEAE
1043,Astragalus sp.,FABACEAE
1044,Astragalus undiff.,FABACEAE
1045,Astragalus/Lupinus,FABACEAE
1046,Astragalus/Oxytropis,FABACEAE
1047,Astragalus/Vicia,FABACEAE
1048,Astragalus-type,FABACEAE
1186,Baphiopsis,FABACEAE
1187,Baphiopsis parviflora,FABACEAE
1222,Bauhinia,FABACEAE
1371,Bituminaria,FABACEAE
1372,Bituminaria bituminosa,FABACEAE
1459,Bossiaea,FABACEAE
1506,Brachystegia,FABACEAE
1644,Caesalpinia,FABACEAE
1645,Caesalpiniaceae,FABACEAE
1646,Caesalpiniaceae undiff.,FABACEAE
1647,Caesalpinia-type,FABACEAE
1654,Calicotome,FABACEAE
1693,Calliandra,FABACEAE
1919,Cassia,FABACEAE
1920,Cassia mimosoides-type,FABACEAE
1921,Cassia/Senna,FABACEAE
2079,Ceratonia,FABACEAE
2080,Ceratonia siliqua,FABACEAE
2088,Cercidium,FABACEAE
2089,Cercis,FABACEAE
2090,Cercis siliquastrum,FABACEAE
2329,cf. Fabaceae,FABACEAE
2439,cf. Medicago,FABACEAE
2840,Chamaecrista,FABACEAE
2841,Chamaecrista fasciculata-type,FABACEAE
2842,Chamaecrista-type,FABACEAE
3163,Collaea,FABACEAE
3186,Colutea,FABACEAE
3253,Copaifera,FABACEAE
3254,Copaifera-type,FABACEAE
3315,Coronilla,FABACEAE
3316,Coronilla emerus,FABACEAE
3317,Coronilla-type,FABACEAE
3427,Crotalaria,FABACEAE
3428,Crotalaria-type,FABACEAE
3607,Cytisus,FABACEAE
3608,Cytisus grandiflorus,FABACEAE
3609,Cytisus scoparius,FABACEAE
3610,Cytisus scoparius-type,FABACEAE
3611,Cytisus sect. Sarothamnus,FABACEAE
3612,Cytisus sect. Spartopsis,FABACEAE
3613,Cytisus-type,FABACEAE
3623,Dalea,FABACEAE
3624,Dalea candida,FABACEAE
3625,Dalea candida-type,FABACEAE
3626,Dalea feayi-type,FABACEAE
3627,Dalea purpurea,FABACEAE
3628,Dalea purpurea-type,FABACEAE
3629,Dalea undiff.,FABACEAE
3664,Daviesia,FABACEAE
3696,Desmodium,FABACEAE
3771,Dioclea,FABACEAE
3869,Dorycnium,FABACEAE
3870,Dorycnium hirsutum,FABACEAE
3871,Dorycnium-type,FABACEAE
4068,Entada-type,FABACEAE
4069,Entadopsis,FABACEAE
4257,Erythrina,FABACEAE
4425,Fabaceae,FABACEAE
4426,Fabaceae (polyad),FABACEAE
4427,Fabaceae (reticulate),FABACEAE
4428,Fabaceae (striate),FABACEAE
4429,Fabaceae (type I),FABACEAE
4430,Fabaceae (type II),FABACEAE
4431,Fabaceae (type III),FABACEAE
4432,Fabaceae (type IV),FABACEAE
4433,Fabaceae (type V),FABACEAE
4434,Fabaceae cf. Astragalus,FABACEAE
4435,Fabaceae cf. Astragalus danicus,FABACEAE
4436,Fabaceae cf. Astragalus-type,FABACEAE
4437,Fabaceae cf. Ceratonia,FABACEAE
4438,Fabaceae cf. Cytisus,FABACEAE
4439,Fabaceae cf. Genista,FABACEAE
4440,Fabaceae cf. Medicago minima,FABACEAE
4441,Fabaceae cf. Medicago sativa subsp. falcata,FABACEAE
4442,Fabaceae cf. Melilotus,FABACEAE
4443,Fabaceae cf. Melilotus officinalis,FABACEAE
4444,Fabaceae cf. Onobrychis,FABACEAE
4445,Fabaceae cf. Oxytropis,FABACEAE
4448,Fabaceae cf. Trifolium,FABACEAE
4449,Fabaceae cf. Vicia,FABACEAE
4450,Fabaceae cf. Vicia cracca,FABACEAE
4451,Fabaceae herbs,FABACEAE
4452,Fabaceae shrubs,FABACEAE
4453,Fabaceae subf. Caesalpinioideae,FABACEAE
4454,Fabaceae subf. Caesalpinioideae undiff.,FABACEAE
4455,Fabaceae subf. Faboideae,FABACEAE
4458,Fabaceae subf. Mimosoideae,FABACEAE
4459,Fabaceae subf. Mimosoideae (polyad),FABACEAE
4460,Fabaceae subf. Mimosoideae (tetrad),FABACEAE
4461,Fabaceae subf. Mimosoideae (type I),FABACEAE
4462,Fabaceae subf. Mimosoideae (type II),FABACEAE
4463,Fabaceae subf. Mimosoideae aff. Prosopis,FABACEAE
4464,Fabaceae subf. Mimosoideae undiff.,FABACEAE
4467,Fabaceae tribe Psoraleeae,FABACEAE
4468,Fabaceae undiff.,FABACEAE
4679,Galega-type,FABACEAE
4746,Genista,FABACEAE
4747,Genista/Ulex,FABACEAE
4748,Genista-type,FABACEAE
4850,Gleditsia,FABACEAE
4894,Gompholobium,FABACEAE
5042,Hardenbergia,FABACEAE
5043,Hardwickia,FABACEAE
5059,Hedysarum,FABACEAE
5060,Hedysarum cf. H. hedysaroides,FABACEAE
5061,Hedysarum/Ebenus,FABACEAE
5062,Hedysarum-type,FABACEAE
5185,Hippocrepis,FABACEAE
5186,Hippocrepis-type,FABACEAE
5211,Hoffmannseggia,FABACEAE
5238,Hovea,FABACEAE
5409,Inga,FABACEAE
5547,Kotschya-type,FABACEAE
5558,Laburnum-type,FABACEAE
5688,Lathyrus,FABACEAE
5689,Lathyrus japonicus,FABACEAE
5690,Lathyrus japonicus subsp. maritimus,FABACEAE
5691,Lathyrus palustris,FABACEAE
5692,Lathyrus sativus,FABACEAE
5693,Lathyrus-type,FABACEAE
6005,Lotus,FABACEAE
6006,Lotus cf. L. corniculatus,FABACEAE
6007,Lotus cf. L. uliginosus,FABACEAE
6008,Lotus corniculatus,FABACEAE
6009,Lotus uliginosus,FABACEAE
6010,Lotus uliginosus-type,FABACEAE
6011,Lotus undiff.,FABACEAE
6012,Lotus-type,FABACEAE
6022,Lupinus,FABACEAE
6183,Machaerium/Dalbergia,FABACEAE
6198,Macrolobium,FABACEAE
6335,Medicago,FABACEAE
6336,Medicago lupulina,FABACEAE
6337,Medicago sativa,FABACEAE
6338,Medicago sativa subsp. falcata,FABACEAE
6339,Medicago sativa-type,FABACEAE
6340,Medicago-type,FABACEAE
6409,Melilotus,FABACEAE
6410,Melilotus officinalis,FABACEAE
6411,Melilotus-type,FABACEAE
6562,Mimosa,FABACEAE
6563,Mimosa (10 µm),FABACEAE
6564,Mimosa (5 µm),FABACEAE
6565,Mimosa (type I),FABACEAE
6566,Mimosa (type II),FABACEAE
6567,Mimosa (type III),FABACEAE
6568,Mimosa cf. M. biuncifera,FABACEAE
6569,Mimosa cf. M. invisa,FABACEAE
6570,Mimosa cf. M. scabrella,FABACEAE
6571,Mimosa cf. M. taimbensis,FABACEAE
6572,Mimosa undiff.,FABACEAE
6813,Myrocarpus,FABACEAE
6814,Myroxylon-type,FABACEAE
7102,Olneya tesota,FABACEAE
7132,Onobrychis-type,FABACEAE
7136,Ononis,FABACEAE
7137,Ononis baetica-type,FABACEAE
7138,Ononis-type,FABACEAE
7205,Ornithopus,FABACEAE
7300,Oxytropis,FABACEAE
7301,Oxytropis maydelliana-type,FABACEAE
7302,Oxytropis-type,FABACEAE
7376,Parapiptadenia-type,FABACEAE
7390,Parkinsonia,FABACEAE
7470,Pediomelum-type,FABACEAE
7488,Peltogyne,FABACEAE
7639,Phaseolus,FABACEAE
7903,Piptadenia,FABACEAE
7904,Piscidia,FABACEAE
7909,Pisum,FABACEAE
7910,Pisum sativum,FABACEAE
7911,Pithecellobium,FABACEAE
8136,Poeppigia,FABACEAE
8137,Poiretia,FABACEAE
8480,Psoralidium,FABACEAE
8481,Psoralidium cf. P. lanceolatum,FABACEAE
8532,Pterodon,FABACEAE
8533,Pterodon-type,FABACEAE
8534,Pterogyne,FABACEAE
8562,Pultenaea-type,FABACEAE
8858,Robinia,FABACEAE
8859,Robinia-type,FABACEAE
9239,Schizolobium,FABACEAE
9254,Schrankia,FABACEAE
9290,Sclerolobium,FABACEAE
9392,Senna,FABACEAE
9395,Senna-type,FABACEAE
9415,Sesbania,FABACEAE
9508,Smithia,FABACEAE
9509,Smithia elliotii-type,FABACEAE
9546,Sophora,FABACEAE
9618,Spartium,FABACEAE
9619,Spartium junceum,FABACEAE
9843,Stryphnodendron,FABACEAE
9958,Tamarindus,FABACEAE
10286,Trifolium,FABACEAE
10287,Trifolium alpestre-type,FABACEAE
10288,Trifolium arvense,FABACEAE
10290,Trifolium cf. T. repens,FABACEAE
10291,Trifolium medium-type,FABACEAE
10292,Trifolium montanum,FABACEAE
10293,Trifolium montanum-type,FABACEAE
10294,Trifolium pratense,FABACEAE
10295,Trifolium pratense-type,FABACEAE
10296,Trifolium repens,FABACEAE
10297,Trifolium repens-type,FABACEAE
10298,Trifolium spadiceum,FABACEAE
10299,Trifolium spadiceum-type,FABACEAE
10300,Trifolium striatum,FABACEAE
10301,Trifolium striatum-type,FABACEAE
10302,Trifolium subg. Latoidea-type,FABACEAE
10303,Trifolium subg. Lotoidea,FABACEAE
10304,Trifolium subg. Lotoidea-type,FABACEAE
10305,Trifolium subg. Trifolium,FABACEAE
10306,Trifolium subg. Trifolium-type,FABACEAE
10307,Trifolium undiff.,FABACEAE
10308,Trifolium-type,FABACEAE
10309,Trifolium-type undiff.,FABACEAE
10434,Ulex,FABACEAE
10435,Ulex/Cytisus,FABACEAE
10438,Ulex-type,FABACEAE
10439,Ulex-type undiff.,FABACEAE
10730,Vicia,FABACEAE
10731,Vicia cf. V. cracca,FABACEAE
10732,Vicia cf. V. hirsuta,FABACEAE
10733,Vicia cf. V. sepium,FABACEAE
10734,Vicia cracca,FABACEAE
10735,Vicia cracca-type,FABACEAE
10736,Vicia faba,FABACEAE
10737,Vicia sylvatica-type,FABACEAE
10738,Vicia/Lathyrus,FABACEAE
10739,Vicia-type,FABACEAE
10740,Vigna,FABACEAE
10741,Vigna luteola-type,FABACEAE
10880,Zornia cf. Z. latifolia,FABACEAE
4483,Fagus,FAGUS
4484,Fagus crenata,FAGUS
4485,Fagus grandifolia,FAGUS
4486,Fagus japonica,FAGUS
4487,Fagus orientalis,FAGUS
4490,Fagus sylvatica,FAGUS
2338,cf. Fraxinus,FRAXINUX
4601,Fraxinus,FRAXINUX
4602,Fraxinus (tetracolpate),FRAXINUX
4603,Fraxinus (tricolpate),FRAXINUX
4606,Fraxinus angustifolia,FRAXINUX
4607,Fraxinus angustifolia subsp. oxycarpa,FRAXINUX
4608,Fraxinus angustifolia subsp. oxycarpa-type,FRAXINUX
4609,Fraxinus anomala,FRAXINUX
4610,Fraxinus caroliniana,FRAXINUX
4611,Fraxinus cf. F. caroliniana,FRAXINUX
4613,Fraxinus chinensis,FRAXINUX
4614,Fraxinus chinensis subsp. rhynchophylla,FRAXINUX
4615,Fraxinus excelsior,FRAXINUX
4616,Fraxinus excelsior-type,FRAXINUX
4617,Fraxinus latifolia,FRAXINUX
4618,Fraxinus latifolia-type,FRAXINUX
4619,Fraxinus mandshurica,FRAXINUX
4622,Fraxinus ornus,FRAXINUX
4627,Fraxinus quadrangulata-type,FRAXINUX
4629,Fraxinus undiff.,FRAXINUX
4630,Fraxinus velutina-type,FRAXINUX
4612,Fraxinus cf. F. nigra,FRAXINUX
4620,Fraxinus nigra,FRAXINUX
4621,Fraxinus nigra-type,FRAXINUX
4626,Fraxinus quadrangulata/F. nigra-type,FRAXINUX
4604,Fraxinus americana,FRAXINUX
4605,Fraxinus americana-type,FRAXINUX
4623,Fraxinus pennsylvanica,FRAXINUX
4624,Fraxinus pennsylvanica/F. americana-type,FRAXINUX
4625,Fraxinus pennsylvanica-type,FRAXINUX
5451,Iva,IVA
5452,Iva annua,IVA
5453,Iva annua-type,IVA
5456,Iva frutescens,IVA
5457,Iva frutescens-type,IVA
5458,Iva undiff.,IVA
5459,Iva xanthifolia,IVA
5460,Iva xanthifolia-type,IVA
5461,Iva-type,IVA
319,Alfaroa,JUGLANSX
320,Alfaroa/Oreomunnea,JUGLANSX
1889,Carya glabra-type,JUGLANSX
1891,Carya tomentosa,JUGLANSX
1892,Carya tomentosa-type,JUGLANSX
1893,Carya-type,JUGLANSX
2381,cf. Juglans,JUGLANSX
4039,Engelhardia,JUGLANSX
4040,Engelhardia cf. E. spicata,JUGLANSX
4041,Engelhardia/Alfaroa,JUGLANSX
4043,Engelhardtia,JUGLANSX
4044,Engelhardtia/Alfaroa,JUGLANSX
5476,Juglandaceae,JUGLANSX
5477,Juglandaceae undiff.,JUGLANSX
5478,Juglans,JUGLANSX
5479,Juglans australis,JUGLANSX
5480,Juglans cf. J. cinerea,JUGLANSX
5482,Juglans cinerea,JUGLANSX
5483,Juglans cinerea-type,JUGLANSX
5484,Juglans mandshurica,JUGLANSX
5487,Juglans regia,JUGLANSX
5488,Juglans undiff.,JUGLANSX
5489,Juglans/Pterocarya,JUGLANSX
5490,Juglans-type,JUGLANSX
6612,Momipites,JUGLANSX
8002,Platycarya,JUGLANSX
8528,Pterocarya,JUGLANSX
8529,Pterocarya fraxinifolia,JUGLANSX
8530,Pterocarya pterocarpa,JUGLANSX
5481,Juglans cf. J. nigra,JUGLANSX
5485,Juglans nigra,JUGLANSX
5486,Juglans nigra-type,JUGLANSX
215,Aegiphila,LAMIACEAE
249,Agastache,LAMIACEAE
250,Agastache-type,LAMIACEAE
291,Ajuga-type,LAMIACEAE
2387,cf. Lamiaceae,LAMIACEAE
3210,Condea,LAMIACEAE
3211,Condea albida,LAMIACEAE
3212,Condea emoryi,LAMIACEAE
3213,Condea laniflora,LAMIACEAE
3214,Condea tephrodes,LAMIACEAE
3215,Condea tomentosa,LAMIACEAE
3878,Dracocephalum-type,LAMIACEAE
4680,Galeopsis,LAMIACEAE
4681,Galeopsis-type,LAMIACEAE
4682,Galeopsis-type undiff.,LAMIACEAE
4849,Glechoma-type,LAMIACEAE
5374,Hyptis,LAMIACEAE
5380,Hyptis-type,LAMIACEAE
5588,Lamiaceae,LAMIACEAE
5589,Lamiaceae (hexacolpate),LAMIACEAE
5590,Lamiaceae (stephanocolpate),LAMIACEAE
5591,Lamiaceae (tricolpate),LAMIACEAE
5592,Lamiaceae cf. Marrubium,LAMIACEAE
5593,Lamiaceae cf. Mentha,LAMIACEAE
5594,Lamiaceae cf. Origanum,LAMIACEAE
5595,Lamiaceae cf. Prostanthera,LAMIACEAE
5596,Lamiaceae cf. Stachys,LAMIACEAE
5597,Lamiaceae cf. Thymus,LAMIACEAE
5598,Lamiaceae undiff.,LAMIACEAE
5600,Lamiastrum-type,LAMIACEAE
5602,Lamium,LAMIACEAE
5603,Lamium-type,LAMIACEAE
5702,Lavandula-type,LAMIACEAE
5786,Leucas-type,LAMIACEAE
6127,Lycopus,LAMIACEAE
6128,Lycopus americanus,LAMIACEAE
6129,Lycopus europaeus,LAMIACEAE
6130,Lycopus/Mentha,LAMIACEAE
6131,Lycopus-type,LAMIACEAE
6303,Marrubium,LAMIACEAE
6419,Mentha,LAMIACEAE
6420,Mentha arvensis,LAMIACEAE
6421,Mentha longifolia,LAMIACEAE
6422,Mentha-type,LAMIACEAE
6615,Monardella,LAMIACEAE
6935,Nepeta,LAMIACEAE
6936,Nepeta-type,LAMIACEAE
7065,Ocimum,LAMIACEAE
7685,Phlomis,LAMIACEAE
8411,Prostanthera,LAMIACEAE
8428,Prunella,LAMIACEAE
8429,Prunella vulgaris,LAMIACEAE
8430,Prunella-type,LAMIACEAE
9058,Salvia,LAMIACEAE
9059,Salvia cf. S. pinquifolia,LAMIACEAE
9060,Salvia sp.,LAMIACEAE
9131,Satureja,LAMIACEAE
9132,Satureja/Ziziphora,LAMIACEAE
9319,Scutellaria,LAMIACEAE
9320,Scutellaria cf. S. galericulata,LAMIACEAE
9321,Scutellaria-type,LAMIACEAE
9436,Sideritis,LAMIACEAE
9437,Sideritis (tetracolpate),LAMIACEAE
9743,Stachys,LAMIACEAE
9744,Stachys sylvatica-type,LAMIACEAE
9745,Stachys/Lamium,LAMIACEAE
9746,Stachys-type,LAMIACEAE
10038,Tectona,LAMIACEAE
10087,Teucrium,LAMIACEAE
10088,Teucrium scorodonia,LAMIACEAE
10089,Teucrium-type,LAMIACEAE
10171,Thymus,LAMIACEAE
10172,Thymus/Mentha,LAMIACEAE
10173,Thymus-type,LAMIACEAE
10277,Trichostema dichotomum,LAMIACEAE
10802,Westringia,LAMIACEAE
5630,Larix,LARIXPSEU
5632,Larix decidua,LARIXPSEU
5633,Larix gmelinii,LARIXPSEU
5634,Larix laricina,LARIXPSEU
5635,Larix sibirica,LARIXPSEU
5636,Larix/Pseudotsuga,LARIXPSEU
5637,Larix-type,LARIXPSEU
8470,Pseudotsuga,LARIXPSEU
8471,Pseudotsuga menziesii,LARIXPSEU
8472,Pseudotsuga-type,LARIXPSEU
5638,Larrea,LARREA
5639,Larrea divaricata,LARREA
350,Allium,LILIACEAE
351,Allium oleraceum-type,LILIACEAE
352,Allium suaveolens,LILIACEAE
353,Allium ursinum-type,LILIACEAE
354,Allium vineale-type,LILIACEAE
355,Allium-type,LILIACEAE
622,Anthericum-type,LILIACEAE
1628,Butomus-type,LILIACEAE
2154,cf. Anthericum,LILIACEAE
2262,cf. Chionodoxa,LILIACEAE
2403,cf. Liliaceae,LILIACEAE
3158,Colchicum autumnale-type,LILIACEAE
3160,Colchicum-type,LILIACEAE
3244,Convallaria-type,LILIACEAE
4637,Fritillaria,LILIACEAE
4638,Fritillaria camschatcensis,LILIACEAE
4639,Fritillaria lusitanica,LILIACEAE
4640,Fritillaria-type,LILIACEAE
4670,Gagea lutea-type,LILIACEAE
4671,Gagea nevadensis,LILIACEAE
4672,Gagea pratensis-type,LILIACEAE
4674,Gagea-type,LILIACEAE
5425,Iris pseudacorus-type,LILIACEAE
5427,Iris-type,LILIACEAE
5811,Liliaceae,LILIACEAE
5814,Liliaceae undiff.,LILIACEAE
5815,Liliaceae-type,LILIACEAE
5816,Liliaceae-type cf. Crocus,LILIACEAE
5817,Liliaceae-type cf. Narthecium,LILIACEAE
5818,Liliaceae-type cf. Veratrum,LILIACEAE
5819,Liliaceae-type undiff.,LILIACEAE
5826,Lilium,LILIACEAE
5827,Lilium martagon,LILIACEAE
5828,Lilium martagon-type,LILIACEAE
5829,Lilium philadelphicum,LILIACEAE
5830,Lilium philadelphicum-type,LILIACEAE
5831,Lilium-type,LILIACEAE
5928,Lloydia,LILIACEAE
6227,Maianthemum trifolia-type,LILIACEAE
6228,Maianthemum-type,LILIACEAE
6678,Muscari-type,LILIACEAE
6864,Narcissus pseudonarcissus-type,LILIACEAE
7204,Ornithogalum-type,LILIACEAE
7387,Paris,LILIACEAE
7388,Paris/Gagea,LILIACEAE
7389,Paris-type,LILIACEAE
9500,Smilacina trifolia-type,LILIACEAE
10326,Trillium,LILIACEAE
10384,Tulipa,LILIACEAE
10385,Tulipa sylvestris,LILIACEAE
10386,Tulipa-type,LILIACEAE
10683,Veratrum-type,LILIACEAE
5894,Liquidambar,LIQUIDAM
5895,Liquidambar styraciflua,LIQUIDAM
5898,Liriodendron,MAGNOLIACE
5899,Liriodendron tulipifera,MAGNOLIACE
3784,Diphasiastrum,LYCOPODX
3785,Diphasiastrum alpinum,LYCOPODX
3786,Diphasiastrum alpinum/D. complanatum,LYCOPODX
3787,Diphasiastrum alpinum-type,LYCOPODX
3788,Diphasiastrum alpinum-type undiff.,LYCOPODX
3789,Diphasiastrum cf. D. alpinum,LYCOPODX
3790,Diphasiastrum complanatum,LYCOPODX
3791,Diphasiastrum complanatum/D. tristachyum,LYCOPODX
3792,Diphasiastrum complanatum-type,LYCOPODX
3793,Diphasiastrum complanatum-type undiff.,LYCOPODX
3794,Diphasiastrum sitchense,LYCOPODX
3795,Diphasiastrum sitchense/D. alpinum,LYCOPODX
3796,Diphasiastrum tristachyum,LYCOPODX
3797,Diphasiastrum tristachyum-type,LYCOPODX
3798,Diphasiastrum undiff.,LYCOPODX
3799,Diphasiastrum-type,LYCOPODX
3800,Diphasium,LYCOPODX
6047,Lycopodiaceae cf. Diphasiastrum complanatum,LYCOPODX
6050,Lycopodiaceae cf. Lycopodium annotinum,LYCOPODX
6051,Lycopodiaceae cf. Lycopodium clavatum,LYCOPODX
6067,Lycopodium,LYCOPODX
6071,Lycopodium annotinum,LYCOPODX
6072,Lycopodium annotinum subsp. alpestre,LYCOPODX
6073,Lycopodium annotinum subsp. annotinum,LYCOPODX
6074,Lycopodium annotinum/Diphasiastrum complanatum,LYCOPODX
6075,Lycopodium annotinum-type,LYCOPODX
6079,Lycopodium cf. L. annotinum,LYCOPODX
6080,Lycopodium cf. L. clavatum,LYCOPODX
6081,Lycopodium cf. L. clavatum (tetrad),LYCOPODX
6082,Lycopodium cf. L. jussiaei,LYCOPODX
6083,Lycopodium clavatum,LYCOPODX
6084,Lycopodium clavatum/Diphasiastrum complanatum,LYCOPODX
6085,Lycopodium clavatum-type,LYCOPODX
6086,Lycopodium clavatum-type undiff.,LYCOPODX
6090,Lycopodium dendroideum,LYCOPODX
6092,Lycopodium deuterodensum,LYCOPODX
6094,Lycopodium fastigiatum,LYCOPODX
6095,Lycopodium fastigiatum-type,LYCOPODX
6098,Lycopodium juniperoideum,LYCOPODX
6099,Lycopodium lagopus,LYCOPODX
6100,Lycopodium laterale,LYCOPODX
6103,Lycopodium magellanicum,LYCOPODX
6104,Lycopodium obscurum,LYCOPODX
6105,Lycopodium obscurum-type,LYCOPODX
6106,Lycopodium paniculatum,LYCOPODX
6110,Lycopodium scariosum,LYCOPODX
6120,Lycopodium thyoides,LYCOPODX
6123,Lycopodium undiff.,LYCOPODX
6125,Lycopodium vestitum,LYCOPODX
6126,Lycopodium-type,LYCOPODX
587,Angiospermae undiff. (hardwood trees),MAGNOLIACE
588,Angiospermae undiff. (herbs),MAGNOLIACE
594,Annona,MAGNOLIACE
595,Annonaceae,MAGNOLIACE
904,Asimina,MAGNOLIACE
6210,Magnolia,MAGNOLIACE
6211,Magnolia virginiana,MAGNOLIACE
6212,Magnolia virginiana-type,MAGNOLIACE
6213,Magnoliaceae,MAGNOLIACE
6214,Magnoliales,MAGNOLIACE
6217,Magnoliophyta undiff.,MAGNOLIACE
6218,Magnoliopsida undiff.,MAGNOLIACE
6810,Myristica,MAGNOLIACE
6811,Myristicaceae,MAGNOLIACE
6812,Myristicaceae-type,MAGNOLIACE
10757,Virola,MAGNOLIACE
10758,Virola oleifera,MAGNOLIACE
55,Abutilon,MALVACEAE
56,Abutilon cf. A. incanum,MALVACEAE
57,Abutilon incanum,MALVACEAE
58,Abutilon palmeri,MALVACEAE
59,Abutilon sp.,MALVACEAE
60,Abutilon-type,MALVACEAE
662,Apeiba,MALVACEAE
830,Argyrodendron,MALVACEAE
1131,Ayenia,MALVACEAE
1420,Bombax,MALVACEAE
1637,Byttneria,MALVACEAE
1960,Catostemma,MALVACEAE
1963,Cavanillesia,MALVACEAE
1977,Ceiba,MALVACEAE
2356,cf. Gossypium,MALVACEAE
2963,Chorisia,MALVACEAE
3199,Commersonia,MALVACEAE
3421,Cristaria,MALVACEAE
3422,Cristaria sp.,MALVACEAE
3634,Daphne,MALVACEAE
3635,Daphne mezereum,MALVACEAE
3636,Daphne sericea,MALVACEAE
