Scientific Name, numSites, csvLocation, shapefileLocation
Polygonaceae ,42,CSV/mammals/Polygonaceae_undiff.csv,shapefiles/mammals/Polygonaceae_undiff.shp
Polygonum aviculare,71,CSV/mammals/Polygonum_aviculare.csv,shapefiles/mammals/Polygonum_aviculare.shp
Polygonum californicum,101,CSV/mammals/Polygonum_californicum.csv,shapefiles/mammals/Polygonum_californicum.shp
Polygonum ramosissimum,33,CSV/mammals/Polygonum_ramosissimum.csv,shapefiles/mammals/Polygonum_ramosissimum.shp
Polygonum ,129,CSV/mammals/Polygonum_undiff.csv,shapefiles/mammals/Polygonum_undiff.shp
Polypodiophyta (monolete),666,CSV/mammals/Polypodiophyta_(monolete).csv,shapefiles/mammals/Polypodiophyta_(monolete).shp
Polypodiophyta (trilete),520,CSV/mammals/Polypodiophyta_(trilete).csv,shapefiles/mammals/Polypodiophyta_(trilete).shp
Polypodiophyta ,347,CSV/mammals/Polypodiophyta_undiff.csv,shapefiles/mammals/Polypodiophyta_undiff.shp
Populus balsamifera,223,CSV/mammals/Populus_balsamifera.csv,shapefiles/mammals/Populus_balsamifera.shp
Populus tremula,66,CSV/mammals/Populus_tremula.csv,shapefiles/mammals/Populus_tremula.shp
Populus tremuloides,89,CSV/mammals/Populus_tremuloides.csv,shapefiles/mammals/Populus_tremuloides.shp
Populus ,168,CSV/mammals/Populus_undiff.csv,shapefiles/mammals/Populus_undiff.shp
Potentilla palustris,69,CSV/mammals/Potentilla_palustris.csv,shapefiles/mammals/Potentilla_palustris.shp
Pseudotsuga menziesii,457,CSV/mammals/Pseudotsuga_menziesii.csv,shapefiles/mammals/Pseudotsuga_menziesii.shp
Pteridium aquilinum,64,CSV/mammals/Pteridium_aquilinum.csv,shapefiles/mammals/Pteridium_aquilinum.shp
Pteridophyta ,595,CSV/mammals/Pteridophyta_undiff.csv,shapefiles/mammals/Pteridophyta_undiff.shp
Quercus coccifera,19,CSV/mammals/Quercus_coccifera.csv,shapefiles/mammals/Quercus_coccifera.shp
Quercus ilex,708,CSV/mammals/Quercus_ilex.csv,shapefiles/mammals/Quercus_ilex.shp
Quercus mongolica,257,CSV/mammals/Quercus_mongolica.csv,shapefiles/mammals/Quercus_mongolica.shp
Quercus robur,159,CSV/mammals/Quercus_robur.csv,shapefiles/mammals/Quercus_robur.shp
Quercus ,615,CSV/mammals/Quercus_undiff.csv,shapefiles/mammals/Quercus_undiff.shp
Ranunculaceae ,12,CSV/mammals/Ranunculaceae_undiff.csv,shapefiles/mammals/Ranunculaceae_undiff.shp
Ranunculus acris,177,CSV/mammals/Ranunculus_acris.csv,shapefiles/mammals/Ranunculus_acris.shp
Ranunculus aquatilis,370,CSV/mammals/Ranunculus_aquatilis.csv,shapefiles/mammals/Ranunculus_aquatilis.shp
Ranunculus flabellaris,14,CSV/mammals/Ranunculus_flabellaris.csv,shapefiles/mammals/Ranunculus_flabellaris.shp
Ranunculus repens,11,CSV/mammals/Ranunculus_repens.csv,shapefiles/mammals/Ranunculus_repens.shp
Ranunculus ,38,CSV/mammals/Ranunculus_undiff.csv,shapefiles/mammals/Ranunculus_undiff.shp
Rhamnaceae ,68,CSV/mammals/Rhamnaceae_undiff.csv,shapefiles/mammals/Rhamnaceae_undiff.shp
